City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,iskateley,67.6803,53.1512,-16.98,92,9,5.99,RU,1702143551
157,mandiana,10.6333,-8.6833,86.31,14,75,4.9,GN,1702143551
158,dolores,-36.3132,-57.6792,71.24,60,99,8.72,AR,1702143551
159,ambovombe,-25.1667,46.0833,71.64,85,100,12.1,MG,1702143551
160,cabo san lucas,22.8909,-109.9124,83.52,58,0,3.44,MX,1702143378
161,bredasdorp,-34.5322,20.0403,62.42,68,4,7.61,ZA,1702143551
162,usogorsk,63.4106,48.6872,-18.33,100,16,3.06,RU,1702143551
163,bandarbeyla,9.4942,50.8122,78.55,75,94,20.22,SO,1702143551
164,blackwater,-23.5833,148.8833,69.91,76,1,8.75,AU,1702143551
165,polyarnyy,69.1989,33.4478,9.99,86,90,19.17,RU,1702143551
166,thaton,16.9206,97.3714,77.77,84,2,1.48,MM,1702143552
167,pailin,12.849,102.6093,72.61,92,5,4.85,KH,1702143552
168,uchaly,54.2996,59.4521,-16.33,98,7,3.65,RU,1702143552
169,tumaco,1.7986,-78.8156,80.06,85,19,16.49,CO,1702143552
170,tamanrasset,22.785,5.5228,69.71,17,0,16.11,DZ,1702143552
171,wailua homesteads,22.0669,-159.378,68.79,86,100,0.0,US,1702143552
172,galle,6.0367,80.217,77.88,87,87,1.81,LK,1702143552
173,dunedin,-45.8742,170.5036,51.8,64,100,21.0,NZ,1702143553
174,spring creek,40.7266,-115.5859,25.3,53,13,0.63,US,1702143553
175,kingscliff,-28.2667,153.5667,69.73,88,100,5.75,AU,1702143553
176,sanctuary point,-35.1114,150.629,68.32,93,100,4.07,AU,1702143553
177,vikhorevka,56.1201,101.1636,-26.01,100,95,1.28,RU,1702143553
178,ar raqqah,35.95,39.0167,60.37,71,61,3.11,SY,1702143553
179,brak,27.5496,14.2714,57.6,47,52,11.36,LY,1702143554
180,yuxi,24.355,102.5422,52.77,96,0,3.87,CN,1702143554
181,hermanus,-34.4187,19.2345,63.46,75,25,13.6,ZA,1702143554
182,remire-montjoly,4.9167,-52.2667,87.84,58,100,9.22,GF,1702143554
183,nema,57.5067,50.5011,-27.18,100,24,3.29,RU,1702143554
184,adrar,20.5022,-10.0711,75.85,16,34,11.41,MR,1702143554
185,fort bragg,35.139,-79.006,71.91,59,0,6.91,US,1702143554
186,antsiranana,-12.2787,49.2917,80.26,78,72,11.95,MG,1702143554
187,ozar,20.1,73.9333,67.57,58,0,5.64,IN,1702143555
188,revda,56.801,59.9303,-21.75,99,16,3.76,RU,1702143555
189,saint-philippe,-21.3585,55.7679,80.19,93,84,5.41,RE,1702143555
190,gobabis,-22.45,18.9667,84.16,22,74,21.25,NA,1702143555
191,khandud,36.9513,72.318,15.78,82,87,4.27,AF,1702143505
192,crane,31.3974,-102.3501,57.7,16,0,18.07,US,1702143555
193,san pedro pochutla,15.7333,-96.4667,89.31,45,75,5.12,MX,1702143555
194,accra,5.556,-0.1969,84.61,79,20,10.36,GH,1702143555
195,mount isa,-20.7333,139.5,80.37,57,4,6.91,AU,1702143556
196,vilyuysk,63.7553,121.6247,-16.56,97,100,6.82,RU,1702143556
197,valday,57.9747,33.2525,11.16,92,100,10.29,RU,1702143556
198,tsaratanana,-16.7833,47.65,82.11,65,87,4.25,MG,1702143556
199,ixtapa,20.7,-105.2,79.83,54,0,4.61,MX,1702143556
200,hammerfest,70.6634,23.6821,21.65,63,76,10.36,NO,1702143556
201,yulinshi,38.2906,109.7494,37.81,36,100,4.99,CN,1702143556
202,villa gesell,-37.2639,-56.973,70.05,63,100,16.11,AR,1702143556
203,iqaluit,63.7506,-68.5145,19.13,85,100,11.5,CA,1702143557
204,st. john's,47.5649,-52.7093,38.68,91,100,32.21,CA,1702143381
205,durango,24.8333,-104.8333,63.3,28,0,1.97,MX,1702143450
206,posto fiscal rolim de moura,-13.0833,-62.2667,100.78,30,64,5.32,BR,1702143557
207,song cau,13.45,109.2167,71.8,91,30,4.36,VN,1702143557
208,arkhangel'sk,64.5401,40.5433,-3.87,83,20,11.18,RU,1702143321
209,datong,40.0936,113.2914,30.24,47,99,3.29,CN,1702143504
210,san andres,12.5847,-81.7006,84.22,89,40,14.97,CO,1702143557
211,aasiaat,68.7098,-52.8699,8.33,84,100,2.64,GL,1702143557
212,pathein,16.7833,94.7333,79.9,76,57,9.1,MM,1702143558
213,mugia,43.1041,-9.2179,61.16,96,100,12.48,ES,1702143558
214,burang,30.25,81.1667,6.4,82,20,3.8,CN,1702143558
